node1,node2,port1,port2
28_4_1,28_28_1,29,5
28_9_1,28_28_1,29,10
28_2_1,28_28_1,29,3
28_7_1,28_28_1,29,8
32_13_10,28_28_1,29,26
28_8_1,28_28_1,29,9
28_5_1,28_28_1,29,6
28_6_1,28_28_1,29,7
32_13_8,28_28_1,29,24
32_13_9,28_28_1,29,25
32_13_4,28_28_1,29,20
32_13_5,28_28_1,29,21
32_13_6,28_28_1,29,22
32_13_7,28_28_1,29,23
32_13_1,28_28_1,29,17
32_13_2,28_28_1,29,18
32_13_3,28_28_1,29,19
27_12_1,27_19_1,20,13
27_12_1,27_23_1,24,13
27_12_1,27_29_1,30,13
27_12_1,27_22_1,23,13
27_12_1,27_17_1,18,13
27_12_1,27_21_1,22,13
27_12_1,27_18_1,19,13
27_12_1,27_20_1,21,13
27_12_1,27_16_1,17,13
27_12_1,27_25_1,26,13
27_12_1,27_26_1,27,13
27_12_1,27_24_1,25,13
27_12_1,27_28_1,29,13
27_12_1,27_27_1,28,13
27_12_1,27_30_1,31,13
27_12_1,27_31_1,32,13
18_5_1,18_31_1,32,6
18_4_1,18_31_1,32,5
18_3_1,18_31_1,32,4
32_16_2,18_31_1,19,18
18_8_1,18_31_1,32,9
32_16_13,18_31_1,19,29
32_16_9,18_31_1,19,25
32_16_8,18_31_1,19,24
18_9_1,18_31_1,32,10
32_16_1,18_31_1,19,17
32_16_11,18_31_1,19,27
32_16_3,18_31_1,19,19
32_16_5,18_31_1,19,21
32_16_4,18_31_1,19,20
32_16_7,18_31_1,19,23
32_16_6,18_31_1,19,22
32_16_15,18_31_1,19,31
32_16_14,18_31_1,19,30
32_16_16,18_31_1,19,32
32_16_10,18_31_1,19,26
18_6_1,18_31_1,32,7
32_16_12,18_31_1,19,28
18_7_1,18_31_1,32,8
32_10_16,11_25_1,12,32
32_10_15,11_25_1,12,31
32_10_14,11_25_1,12,30
32_10_13,11_25_1,12,29
11_7_1,11_25_1,26,8
32_10_11,11_25_1,12,27
32_10_10,11_25_1,12,26
32_10_12,11_25_1,12,28
11_3_1,11_25_1,26,4
11_8_1,11_25_1,26,9
11_2_1,11_25_1,26,3
11_9_1,11_25_1,26,10
32_10_3,11_25_1,12,19
32_10_2,11_25_1,12,18
32_10_1,11_25_1,12,17
32_10_7,11_25_1,12,23
32_10_6,11_25_1,12,22
32_10_5,11_25_1,12,21
32_10_4,11_25_1,12,20
32_10_9,11_25_1,12,25
32_10_8,11_25_1,12,24
11_6_1,11_25_1,26,7
11_4_1,11_25_1,26,5
11_5_1,11_25_1,26,6
32_5_1,24_20_1,25,17
32_5_2,24_20_1,25,18
32_5_3,24_20_1,25,19
24_8_1,24_20_1,21,9
32_5_6,24_20_1,25,22
32_5_7,24_20_1,25,23
32_5_8,24_20_1,25,24
32_5_9,24_20_1,25,25
24_2_1,24_20_1,21,3
24_9_1,24_20_1,21,10
24_7_1,24_20_1,21,8
32_5_4,24_20_1,25,20
32_5_5,24_20_1,25,21
24_6_1,24_20_1,21,7
24_4_1,24_20_1,21,5
24_5_1,24_20_1,21,6
32_5_12,24_20_1,25,28
32_5_13,24_20_1,25,29
32_5_10,24_20_1,25,26
32_5_11,24_20_1,25,27
32_5_16,24_20_1,25,32
32_5_14,24_20_1,25,30
32_5_15,24_20_1,25,31
24_3_1,24_20_1,21,4
30_14_1,30_25_1,26,15
30_14_1,30_18_1,19,15
30_14_1,30_16_1,17,15
30_14_1,30_22_1,23,15
30_14_1,30_24_1,25,15
30_14_1,30_17_1,18,15
30_14_1,30_20_1,21,15
30_14_1,30_23_1,24,15
30_14_1,30_31_1,32,15
30_14_1,30_30_1,31,15
30_14_1,30_19_1,20,15
30_14_1,30_29_1,30,15
30_14_1,30_28_1,29,15
30_14_1,30_26_1,27,15
30_14_1,30_21_1,22,15
30_14_1,30_27_1,28,15
12_14_1,12_28_1,29,15
12_14_1,12_30_1,31,15
12_14_1,12_31_1,32,15
12_14_1,12_25_1,26,15
12_14_1,12_19_1,20,15
12_14_1,12_23_1,24,15
