node1,node2,port1,port2
12_1_5,12_1_1,0,4
12_1_2,12_1_1,0,1
12_1_3,12_1_1,0,2
12_1_8,12_1_1,0,7
12_1_9,12_1_1,0,8
9_2_8,9_2_1,0,7
9_2_9,9_2_1,0,8
9_2_2,9_2_1,0,1
9_2_3,9_2_1,0,2
9_2_6,9_2_1,0,5
9_2_7,9_2_1,0,6
9_2_4,9_2_1,0,3
9_2_5,9_2_1,0,4
10_1_4,10_1_1,0,3
10_1_5,10_1_1,0,4
10_1_6,10_1_1,0,5
10_1_7,10_1_1,0,6
10_1_2,10_1_1,0,1
10_1_3,10_1_1,0,2
10_1_8,10_1_1,0,7
10_1_9,10_1_1,0,8
8_7_8,8_7_1,0,7
8_7_9,8_7_1,0,8
8_7_6,8_7_1,0,5
8_7_7,8_7_1,0,6
8_7_4,8_7_1,0,3
8_7_5,8_7_1,0,4
8_7_2,8_7_1,0,1
8_7_3,8_7_1,0,2
12_3_8,12_3_1,0,7
12_3_9,12_3_1,0,8
12_3_2,12_3_1,0,1
12_3_3,12_3_1,0,2
12_3_4,12_3_1,0,3
12_3_5,12_3_1,0,4
12_3_6,12_3_1,0,5
12_3_7,12_3_1,0,6
4_4_9,4_4_1,0,8
4_4_8,4_4_1,0,7
4_4_5,4_4_1,0,4
4_4_4,4_4_1,0,3
4_4_7,4_4_1,0,6
4_4_6,4_4_1,0,5
4_4_3,4_4_1,0,2
4_4_2,4_4_1,0,1
4_6_3,4_6_1,0,2
4_6_2,4_6_1,0,1
4_6_7,4_6_1,0,6
4_6_6,4_6_1,0,5
4_6_5,4_6_1,0,4
4_6_4,4_6_1,0,3
4_6_9,4_6_1,0,8
4_6_8,4_6_1,0,7
7_0_8,7_0_1,0,7
7_0_9,7_0_1,0,8
7_0_2,7_0_1,0,1
7_0_3,7_0_1,0,2
7_0_6,7_0_1,0,5
7_0_7,7_0_1,0,6
7_0_4,7_0_1,0,3
7_0_5,7_0_1,0,4
12_7_4,12_7_1,0,3
12_7_5,12_7_1,0,4
12_7_6,12_7_1,0,5
12_7_7,12_7_1,0,6
12_7_2,12_7_1,0,1
12_7_3,12_7_1,0,2
12_7_8,12_7_1,0,7
12_7_9,12_7_1,0,8
12_5_2,12_5_1,0,1
12_5_3,12_5_1,0,2
12_5_6,12_5_1,0,5
12_5_7,12_5_1,0,6
12_5_4,12_5_1,0,3
12_5_5,12_5_1,0,4
12_5_8,12_5_1,0,7
12_5_9,12_5_1,0,8
10_7_6,10_7_1,0,5
10_7_7,10_7_1,0,6
10_7_4,10_7_1,0,3
10_7_5,10_7_1,0,4
10_7_2,10_7_1,0,1
10_7_3,10_7_1,0,2
10_7_8,10_7_1,0,7
10_7_9,10_7_1,0,8
14_2_7,14_2_1,0,6
14_2_6,14_2_1,0,5
14_2_5,14_2_1,0,4
14_2_4,14_2_1,0,3
14_2_3,14_2_1,0,2
14_2_2,14_2_1,0,1
14_2_9,14_2_1,0,8
14_2_8,14_2_1,0,7
14_3_8,14_3_1,0,7
14_3_9,14_3_1,0,8
14_3_6,14_3_1,0,5
14_3_7,14_3_1,0,6
14_3_4,14_3_1,0,3
14_3_5,14_3_1,0,4
14_3_2,14_3_1,0,1
14_3_3,14_3_1,0,2
4_0_9,4_0_1,0,8
4_0_8,4_0_1,0,7
4_0_3,4_0_1,0,2
4_0_2,4_0_1,0,1
4_0_5,4_0_1,0,4
4_0_4,4_0_1,0,3
4_0_7,4_0_1,0,6
4_0_6,4_0_1,0,5
4_2_9,4_2_1,0,8
4_2_8,4_2_1,0,7
